eval,entry,exit,invested,n_hold,turnover,cost,gross,net,buys,sells,equity
2015-06-30,2015-07-01,2015-08-03,1.0,15,0.4,0.001,-0.08008678973219897,-0.08100670294246681,3,3,1.1725921940087436
2015-07-31,2015-08-03,2015-09-01,1.0,15,0.5333333333333333,0.0013333333333333333,-0.04838855850047983,-0.04965737375581247,4,4,1.1143643451677032
2015-08-31,2015-09-01,2015-10-01,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,15,1.1106405109809345
2015-09-30,2015-10-01,2015-11-02,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.1124915784992362
2015-10-30,2015-11-02,2015-12-01,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.1143457311300682
2015-11-30,2015-12-01,2016-01-04,1.0,15,2.0,0.005,0.021015292599206505,0.015910216136210353,15,0,1.1320752125628109
2015-12-30,2016-01-04,2016-02-01,1.0,15,0.4,0.001,0.021389193554152513,0.020367804360598374,3,3,1.155133099013773
2016-01-29,2016-02-01,2016-03-02,0.0,0,2.0,0.005,0.0016666666666666668,-0.003341666666666687,0,15,1.1512730292412352
2016-02-29,2016-03-02,2016-04-01,0.0,0,0.0,0.0,0.0016666666666666668,0.0016666666666667052,0,0,1.153191817623304
2016-03-31,2016-04-01,2016-05-02,1.0,12,2.0,0.005,0.01679357882716549,0.01170961093302969,12,0,1.1666952451388262
2016-04-29,2016-05-02,2016-06-01,1.0,12,0.6666666666666666,0.0016666666666666666,0.0209789876416266,0.019277355995557244,4,4,1.1891860447176912
2016-05-31,2016-06-01,2016-07-01,1.0,12,0.5,0.00125,-0.06097614312124725,-0.06214992294234567,3,3,1.115278223674374
2016-06-30,2016-07-01,2016-08-01,1.0,12,0.6666666666666666,0.0016666666666666666,0.029060572832407917,0.0273454718776871,4,4,1.1457760329756583
2016-07-29,2016-08-01,2016-09-01,1.0,12,0.6666666666666666,0.0016666666666666666,-0.04458874913791213,-0.046181101222682264,4,4,1.0928628340182862
2016-08-31,2016-09-01,2016-10-04,1.0,12,0.5,0.00125,0.0038201444274473806,0.002565369246913196,3,3,1.0956664307237711
2016-09-30,2016-10-04,2016-11-01,1.0,15,1.5999999999999999,0.004,-0.01863874784313045,-0.022564192851757925,12,9,1.0709436020797227
2016-10-31,2016-11-01,2016-12-01,1.0,12,1.2,0.003,-0.028487690667752207,-0.031402227595748955,6,9,1.0373135873450041
2016-11-30,2016-12-01,2017-01-02,1.0,12,0.6666666666666666,0.0016666666666666666,0.015044759685734413,0.013353018419591356,4,4,1.0511648547837142
2016-12-29,2017-01-02,2017-02-01,1.0,15,2.0,0.005,-0.024510667221380105,-0.02938811388527318,15,12,1.0202731023191338
