code,cadence,fold,segment,start,end,n_periods,cagr,mdd,sharpe,calmar,trades,cost_total_pct,cost_ann_pct,total_return,years,n_rebal_invested
s2w,W,Fold4,IS,2020-01-01,2024-12-31,261,-0.05212359677230127,-0.5051120464172267,-0.09868486523091351,-0.10319214744929435,1240,20.0,3.998357963875206,-0.23491300150161054,5.002053388090349,194
s2w,W,Fold4,OOS,2025-01-01,2026-05-31,73,0.9318477705343313,-0.13777877738724675,2.244392537665021,6.763362168000963,394,6.425,4.5834594726562505,1.5169290868995193,1.4017796030116358,58
s2w,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.04590014973370882,-0.5386549970868962,0.23104500117215432,0.0852125200396204,1976,31.450000000000006,4.238786900369004,0.39511240306979234,7.4195756331279945,300
s2w,W,FULL,ALL,2015-01-01,2026-06-30,595,-0.0057069170641166345,-0.774668541411371,0.04800642873482802,-0.007366914698406605,3316,53.70000000000002,4.7013243048897415,-0.0632819157043597,11.422313483915127,474
s3w,W,Fold1,IS,2014-01-01,2018-12-31,258,-0.00240607582480179,-0.3695072817416384,-0.03292071849006396,-0.006511578915200194,1052,17.9,3.6061638168781025,-0.011886279506594488,4.963723477070499,128
s3w,W,Fold1,OOS,2019-01-01,2020-12-31,105,-0.050006921927944536,-0.2991982397449904,-0.16111392098730384,-0.16713641754900005,502,9.525,4.733341836734694,-0.09808337918780452,2.0123203285420943,56
s3w,W,Fold2,IS,2016-01-01,2020-12-31,260,-0.05969303989985664,-0.4395497434354456,-0.282473554147516,-0.13580497040745843,1334,22.925,4.583117816091955,-0.26498980007809125,5.002053388090349,156
s3w,W,Fold2,OOS,2021-01-01,2022-12-31,104,-0.07701194024425573,-0.2352196421244499,-0.5960523332260811,-0.32740437638924,254,3.9250000000000007,1.9692393543956046,-0.14762562414283897,1.9931553730321698,35
s3w,W,Fold3,IS,2018-01-01,2022-12-31,261,-0.047441792516998094,-0.3387476588660807,-0.2629818504370211,-0.14005053990868632,934,17.425,3.4854771358159913,-0.21571833022446918,4.999315537303217,102
s3w,W,Fold3,OOS,2023-01-01,2024-12-31,105,0.11594441091612451,-0.32204448779704753,0.45189768297030697,0.3600260687870947,486,8.075000000000001,4.0127806122448995,0.247016198290416,2.0123203285420943,76
s3w,W,Fold4,IS,2020-01-01,2024-12-31,261,0.018027963686520376,-0.32204448779704753,0.12362122891735425,0.05597973065721777,988,16.1,3.2186781609195405,0.09348913339910347,5.002053388090349,150
s3w,W,Fold4,OOS,2025-01-01,2026-05-31,73,0.5529707227995395,-0.17562008994901146,1.4706655941619151,3.148675774850622,374,5.925000000000001,4.22677001953125,0.8533983428448428,1.4017796030116358,55
s3w,W,ALL_OOS,OOS,2019-01-01,2026-05-31,387,0.08055234756052787,-0.41266828694220525,0.352887552429382,0.19519878340399183,1616,27.450000000000003,3.6996725092250924,0.776796299248609,7.4195756331279945,222
s3w,W,FULL,ALL,2015-01-01,2026-06-30,595,0.045728894781391416,-0.495943799401662,0.22450962176758715,0.09220580000508455,2672,45.15,3.9527894295302013,0.6665223496090116,11.422313483915127,351
s1m-kd200,M,Fold1,IS,2014-01-01,2018-12-31,58,0.036502603357636776,-0.22535003684598376,0.19598306800131937,0.16198179449415667,1,0.25,0.05176445578231293,0.18904503697165587,4.829568788501026,58
s1m-kd200,M,Fold1,OOS,2019-01-01,2020-12-31,24,0.12944726419689245,-0.22094009842185647,0.5544840405535478,0.5858930321906968,0,0.0,0.0,0.27501356974850744,1.995893223819302,24
s1m-kd200,M,Fold2,IS,2016-01-01,2020-12-31,60,0.07230202463056101,-0.3233603537214441,0.3736537597889859,0.22359582366379072,0,0.0,0.0,0.4179074446680082,5.002053388090349,60
s1m-kd200,M,Fold2,OOS,2021-01-01,2022-12-31,24,-0.04310210322178254,-0.3363886342804766,-0.2334481754441421,-0.12813186543587127,0,0.0,0.0,-0.08429118773946398,1.998631074606434,24
s1m-kd200,M,Fold3,IS,2018-01-01,2022-12-31,60,-0.0016041263830951502,-0.3363886342804765,-0.0038620756801133384,-0.004768669983533541,0,0.0,0.0,-0.007993850883935782,4.999315537303217,60
s1m-kd200,M,Fold3,OOS,2023-01-01,2024-12-31,24,0.006704668245653522,-0.15328845157949267,0.005032696897917625,0.04373889994039506,0,0.0,0.0,0.01348210134821004,2.004106776180698,24
s1m-kd200,M,Fold4,IS,2020-01-01,2024-12-31,60,0.03306117485662963,-0.3363886342804765,0.16254604519625213,0.0982826751187546,0,0.0,0.0,0.17668225980568475,5.002053388090349,60
