date,ticker,value
2000-09-20,dow,10687.919921875
2000-09-21,dow,10765.51953125
2000-09-22,dow,10847.3701171875
2000-09-25,dow,10808.150390625
2000-09-26,dow,10631.3203125
2000-09-27,dow,10628.3603515625
2000-09-28,dow,10824.0595703125
2000-09-29,dow,10650.919921875
2000-10-02,dow,10700.1298828125
2000-10-03,dow,10719.740234375
2000-10-04,dow,10784.48046875
2000-10-05,dow,10724.919921875
2000-10-06,dow,10596.5400390625
2000-10-09,dow,10568.4296875
2000-10-10,dow,10524.400390625
2000-10-11,dow,10413.7900390625
2000-10-12,dow,10034.580078125
2000-10-13,dow,10192.1796875
2000-10-16,dow,10238.7998046875
2000-10-17,dow,10089.7099609375
2000-10-18,dow,9975.01953125
2000-10-19,dow,10142.98046875
2000-10-20,dow,10226.58984375
2000-10-23,dow,10271.7197265625
2000-10-24,dow,10393.0703125
2000-10-25,dow,10326.48046875
2000-10-26,dow,10380.1201171875
2000-10-27,dow,10590.6201171875
2000-10-30,dow,10835.76953125
2000-10-31,dow,10971.1396484375
2000-11-01,dow,10899.4697265625
2000-11-02,dow,10880.509765625
2000-11-03,dow,10817.9501953125
2000-11-06,dow,10977.2099609375
2000-11-07,dow,10952.1796875
2000-11-08,dow,10907.0595703125
2000-11-09,dow,10834.25
2000-11-10,dow,10602.9501953125
2000-11-13,dow,10517.25
2000-11-14,dow,10681.0595703125
2000-11-15,dow,10707.599609375
2000-11-16,dow,10656.0302734375
2000-11-17,dow,10629.8701171875
2000-11-20,dow,10462.650390625
2000-11-21,dow,10494.5
2000-11-22,dow,10399.3203125
2000-11-24,dow,10470.23046875
2000-11-27,dow,10546.0703125
2000-11-28,dow,10507.580078125
2000-11-29,dow,10629.1103515625
2000-11-30,dow,10414.490234375
2000-12-01,dow,10373.5400390625
2000-12-04,dow,10560.9501953125
2000-12-05,dow,10898.7197265625
2000-12-06,dow,10664.3798828125
2000-12-07,dow,10617.3603515625
2000-12-08,dow,10712.91015625
2000-12-11,dow,10725.7998046875
2000-12-12,dow,10768.26953125
2000-12-13,dow,10794.4404296875
2000-12-14,dow,10674.990234375
2000-12-15,dow,10434.9599609375
2000-12-18,dow,10645.419921875
2000-12-19,dow,10584.3701171875
2000-12-20,dow,10318.9296875
2000-12-21,dow,10487.2900390625
2000-12-22,dow,10635.5595703125
2000-12-26,dow,10692.4404296875
2000-12-27,dow,10803.16015625
2000-12-28,dow,10868.759765625
2000-12-29,dow,10787.990234375
2001-01-02,dow,10646.150390625
2001-01-03,dow,10945.75
2001-01-04,dow,10912.41015625
2001-01-05,dow,10662.009765625
2001-01-08,dow,10621.349609375
2001-01-09,dow,10572.5498046875
2001-01-10,dow,10604.26953125
2001-01-11,dow,10609.5498046875
2001-01-12,dow,10525.3798828125
2001-01-16,dow,10652.66015625
2001-01-17,dow,10584.33984375
2001-01-18,dow,10678.2802734375
2001-01-19,dow,10587.58984375
2001-01-22,dow,10578.240234375
2001-01-23,dow,10649.8095703125
2001-01-24,dow,10646.9697265625
2001-01-25,dow,10729.51953125
2001-01-26,dow,10659.98046875
2001-01-29,dow,10702.1904296875
2001-01-30,dow,10881.2001953125
2001-01-31,dow,10887.3603515625
2001-02-01,dow,10983.6298828125
2001-02-02,dow,10864.099609375
2001-02-05,dow,10965.849609375
2001-02-06,dow,10957.419921875
2001-02-07,dow,10946.7197265625
2001-02-08,dow,10880.5498046875
2001-02-09,dow,10781.4501953125
2001-02-12,dow,10946.76953125
2001-02-13,dow,10903.3203125
2001-02-14,dow,10795.41015625
2001-02-15,dow,10891.01953125
2001-02-16,dow,10799.8203125
2001-02-20,dow,10730.8798828125
2001-02-21,dow,10526.580078125
2001-02-22,dow,10526.8095703125
2001-02-23,dow,10441.900390625
