date,골디락스,리플레이션,스태그플레이션,디플레이션
2018-07-31,0.3939393939393939,0.08909090909090908,0.1096969696969697,0.4072727272727273
2018-08-31,0.13328512396694214,0.05659090909090909,0.042541322314049584,0.7675826446280991
2018-09-30,0.13113694341372914,0.05567312152133581,0.04182803803339517,0.7713618970315398
2018-10-31,0.12905614314894093,0.05478433923724782,0.04113818237779456,0.7750213352360167
2018-11-30,0.07762004844685096,0.12167818466799658,0.6212649615275007,0.17943680535765175
2018-12-31,0.07467489081546183,0.117247082980249,0.6355835669121961,0.1724944592920931
2019-01-31,0.07194085249042145,0.11311661877394634,0.6488805076628352,0.16606202107279694
2019-02-28,0.12614892984542214,0.05451991676575505,0.06762336504161712,0.7517077883472058
2019-03-31,0.1242336972134444,0.053685004309106575,0.06656636024130996,0.755514938236139
2019-04-30,0.122375,0.052875,0.06554166666666666,0.7592083333333333
2019-05-31,0.12057041117979037,0.05208882020962107,0.0645478366030637,0.7627929320075247
2019-06-30,0.11881763787721124,0.051325442247658684,0.06358350676378773,0.7662734131113423
2019-07-31,0.11711451247165532,0.050583900226757364,0.06264739229024943,0.7696541950113378
2019-08-31,0.354453125,0.081171875,0.104921875,0.459453125
2019-09-30,0.38182958477508655,0.07791089965397924,0.10026384083044983,0.43999567474048445
2019-10-31,0.4072762345679013,0.07485339506172839,0.0959645061728395,0.4219058641975309
2019-11-30,0.1377528782894737,0.04942639802631579,0.06130139802631579,0.7515193256578947
2019-12-31,0.13585549672999067,0.04873995639987543,0.06043226409218313,0.7549722827779508
2020-01-31,0.13400898941568798,0.04807210864627133,0.05958726016142284,0.7583316417766179
2020-02-29,0.3755414065407037,0.07042378137015752,0.09042378137015752,0.46361103071898124
2020-03-31,0.39834328358208954,0.06795522388059702,0.08695522388059701,0.4467462686567164
2020-04-30,0.41973736758384944,0.06562629031712187,0.08372152841235996,0.4309148136866687
2020-05-31,0.15324044634358736,0.04701229267502379,0.058355576257113344,0.7413916847242754
2020-06-30,0.15123545139981126,0.04639194715319283,0.057568417741428124,0.7448041837055678
2020-07-31,0.14168407024786492,0.03827497953615526,0.15420466495713375,0.6658362852588461
2020-08-31,0.11132174236168235,0.034579406078864346,0.1440512567522032,0.7100475948072501
2020-09-30,0.11867205069436038,0.040015817620754325,0.1795380219089755,0.6617741097759098
2020-10-31,0.14370721099887768,0.04406425364758698,0.054619809203142536,0.7576087261503928
2020-11-30,0.39040643043133705,0.061940450583040874,0.07921317785576815,0.468439941129854
2020-12-31,0.4099505399176529,0.06002071626485744,0.07654245539529224,0.4534862884221975
2021-01-31,0.428421803652968,0.05819920091324201,0.07403253424657534,0.43934646118721465
2021-02-28,0.4458849315068493,0.05647123287671233,0.07167123287671233,0.4259726027397261
2021-03-31,0.4624041501175326,0.05483180676015239,0.06944719137553701,0.41331685174677796
2021-04-30,0.47804160324708267,0.05327583291053611,0.06734990698461017,0.40133265685777103
2021-05-31,0.49285644394744205,0.05179829466032988,0.06536972323175846,0.3899755381604697
2021-06-30,0.5069043702050723,0.05039434463212418,0.06349779290798625,0.37920349225481736
2021-07-31,0.5202374429223744,0.049059360730593596,0.06172602739726027,0.36897716894977167
2021-08-31,0.14765974370304905,0.27793106495802034,0.2607052585064074,0.31370393283252324
