,regime,strategy,n_months,insufficient,sharpe,ann_return,ann_vol,hit_rate,worst_month,max_dd_concat,t_stat_mean
32,리플레이션,정적 60/40,36,False,0.7165349204933834,0.07890115676656095,0.10632264748807319,0.5833333333333334,-0.0794598187368551,-0.1206218020476898,1.2410748876918662
38,리플레이션,GTAA,30,False,0.7154675390145009,0.05082986087636132,0.06944097255049239,0.5666666666666667,-0.0334338019318423,-0.10644405761890063,1.1312535076006023
39,리플레이션,quant,39,False,0.6979182327385247,0.24197885987156265,0.3133239859190519,0.5384615384615384,-0.1122514808515628,-0.20942826802751702,1.2581899871099809
40,리플레이션,quant_s2,38,False,0.6762163131152225,0.352456743756451,0.45215269392421253,0.5263157894736842,-0.1415340086830679,-0.3573013377445634,1.203335748405223
28,리플레이션,KOSPI (벤치마크),36,False,0.5195850114271421,0.09344059245070291,0.17256569058654592,0.5555555555555556,-0.1225865209471767,-0.22654552556963647,0.8999476386430658
33,리플레이션,동일비중,36,False,0.5067160618002048,0.048363806988040325,0.09339301179128041,0.4722222222222222,-0.0999901928298829,-0.16608823949750617,0.8776579640491659
41,리플레이션,robo,39,False,0.11451747779029771,0.02118869873572593,0.1832529727337173,0.46153846153846156,-0.1115377901902601,-0.3013075285542821,0.20644931905486352
49,스태그플레이션,GMV,26,False,1.3059823631913046,0.01996503900574642,0.015149242093921144,0.7307692307692307,-0.0096616854271537,-0.01207971684507092,1.9223539878912208
51,스태그플레이션,ERC,26,False,0.8154963872045287,0.018464949122021457,0.022453192599671615,0.6153846153846154,-0.0135095503068211,-0.012909726013192513,1.2003781798574498
48,스태그플레이션,역변동성,26,False,0.7477376189067048,0.013226911975058542,0.017582901837648234,0.6923076923076923,-0.013421677964426,-0.012968111711224029,1.1006399734902332
50,스태그플레이션,MDP,26,False,0.64819389411261,0.013290699852056997,0.020380351626662758,0.5769230769230769,-0.0113002878359951,-0.014916229265996006,0.9541155779694009
43,스태그플레이션,영구포트폴리오,32,False,0.5633627256395193,0.03786180205812717,0.06606798638933968,0.5,-0.0279176117728883,-0.07097927124288173,0.9199674786135842
42,스태그플레이션,KOSPI (벤치마크),32,False,0.504503056587378,0.09623894996162052,0.18282916262491908,0.46875,-0.1238379814077025,-0.18506743603519382,0.8238500415423626
46,스태그플레이션,정적 60/40,32,False,0.4703415149641461,0.05611336261519573,0.11634081187441497,0.46875,-0.0696239359182421,-0.1123313652403869,0.7680644776731844
53,스태그플레이션,quant,36,False,0.3648588202864563,0.19530528185181661,0.49261340483865795,0.5277777777777778,-0.2065656231385267,-0.6286837884569656,0.6319540143257845
45,스태그플레이션,올웨더,32,False,0.3177909939527503,0.023659767865719106,0.07365536765610468,0.46875,-0.0370298482629436,-0.0939657909392907,0.5189505200240886
55,스태그플레이션,robo,36,False,0.18491959922881085,0.05257914156546972,0.2777047214311174,0.5555555555555556,-0.2102096940529391,-0.3284250249289882,0.320290141179575
44,스태그플레이션,황금나비,32,False,0.16768639948374797,0.014713853794982246,0.08716001251754607,0.5,-0.0574563272567334,-0.12085597705823059,0.27383074369312205
47,스태그플레이션,동일비중,32,False,-0.09703980729798244,-0.007496788913440189,0.07752150747588887,0.5,-0.0537327710266855,-0.13998597910408894,-0.15846534174537613
54,스태그플레이션,quant_s2,36,False,-0.16523977635683862,-0.09561786776966685,0.6056870726704809,0.3888888888888889,-0.3158682634730538,-0.8785571884992187,-0.28620368808136304
52,스태그플레이션,GTAA,26,False,-0.5001688182886999,-0.037084132937826975,0.07543412621976937,0.38461538461538464,-0.0700373691250173,-0.10700944536281265,-0.7362285659865972
